"","Covariate","Model","Data","RMSE","Href","LL","AICc"
"1","CUI","Constant","Multi",0.939987471096418,10.7466385919395,60.8942932159784,139.650655397474
"2","Temp_CUI","Constant","Multi",0.923071359074779,15.8046156496373,58.3653046871295,141.397276040926
"3","peak day","Constant","Multi",0.940925689528157,8.0969460751177,62.2191394743893,142.300347914296
"4","PkDay_CUI","Constant","Multi",0.929865605822649,13.7889999782358,59.3731125228302,143.412891712327
"5","marine1","Constant","Multi",0.949842784191636,6.41448662243039,63.0603692007329,143.982807366983
"6",NA,"Constant","Multi",0.965051374294911,0,66.2676125119481,144.470708894864
"7","Temperature","Constant","Multi",0.946293004133263,5.23990290902962,63.6476610574333,145.157391080384
"8","PNI","Constant","Multi",0.96440731398987,4.97243516486293,63.7813949295167,145.424858824551
"9","PkDay_Marine","Constant","Multi",0.935588516366983,10.8255868565386,60.8548190836788,146.376304834024
"10","Temp_Marine","Constant","Multi",0.936361249193836,10.0369933621967,61.2491158308498,147.164898328366
"11","outflow","Constant","Multi",0.96374504182269,2.73124731142261,64.9019888562368,147.666046677991
"12","PkDay_Temp_CUI","Constant","Multi",0.917843877294432,17.3952874657994,57.5699687790485,147.699937558097
"13","PNI_Marine","Constant","Multi",0.943795837775863,7.92169062230678,62.3067672007947,149.280201068256
"14","mnCUI","Constant","Multi",0.96440731398987,0.311027366270821,66.1120988288127,150.086266623143
"15","peak","Constant","Multi",0.965493948626668,-0.106606103838487,66.3209155638674,150.503900093252
"16","PNI_CUI","Constant","Multi",0.943776136957786,6.61518003820507,62.9600224928456,150.586711652358
"17","SSTpre","Constant","Multi",0.965291304748041,-0.213390702189713,66.374307863043,150.610684691603
"18","SST6mo","Constant","Multi",0.966104942023638,-0.731831099959805,66.633528061928,151.129125089373
"19","spill","Constant","Multi",0.96854271121586,-0.974978127968711,66.7551015759325,151.372272117382
"20","PkDay_Temp_Marine","Constant","Multi",0.924813221727523,13.7132173257932,59.4110038490515,151.382007698103
"21","SSTentry","Constant","Multi",0.964488142545039,-3.14214760867196,67.8386863162841,153.539441598085
"22","out_CUI","Constant","Multi",0.963777352716935,2.72711998701638,64.9040525184399,154.474771703547
"23","CUI","LinTrend","Multi",1.03293347980287,9.53459118481814,77.0633277238037,178.793322114274
"24",NA,"LinTrend","Multi",1.05932573197336,0,81.8306233162128,181.523315597943
"25","Marine","LinTrend","Multi",1.04383028567828,5.42865565831863,79.1162954870534,182.899257640774
"26","PNI","LinTrend","Multi",1.0404242448435,4.52634190439377,79.5674523640159,183.801571394698
"27","SST_pre","LinTrend","Multi",1.05912159180382,-0.127533588578615,81.8943901105021,188.455446887671
"28","SST_6mo","LinTrend","Multi",1.05957604585246,-0.506269910989374,82.0837582717074,188.834183210082
"29","Marine + PNI","LinTrend","Multi",1.03647440235194,6.86445257967961,78.3983970263729,189.356794052746
"30","SST_entry","LinTrend","Multi",1.05241203175759,-1.51138214481654,82.586314388621,189.839295443909
